Fornavn,Efternavn,Unilogin,Køn,Klasse,Kontaktlærer1,Kontaktlærer2,Initialer for k-lærer1,Initialer for k-lærer2
Yrsa,Dahl,u10000,k,9A,Qha Kbæk,Lel Rlund,QK,LR
Zara,Zacho,u10001,k,10B,Tsa Ahavn,Vbo Nberg,TA,VN
Clara,Gram,u10002,k,9B,Sro Pson,Hwa Dvang,SP,HD
Åse,Rasmussen,u10003,k,10A,Mol Uskov,Kio Bberg,MU,KB
Ægir,Østergaard,u10004,m,9B,Zka Rborg,Fel Wson,ZR,FW
Ægir,Knudsen,u10005,m,9A,Jmi Llund,Nlu Pfelt,JL,NP
Viggo,Iversen,u10006,m,9A,Gro Xlund,Cmi Bholm,GX,CB
Silas,Jensen,u10007,m,10C,Osa Yson,Dwa Sholm,OY,DS
Birk,Vestergaard,u10008,m,9B,Qci Kbæk,Lda Rfred,QK,LR
Ida,Olsen,u10009,k,10C,Tfa Afelt,Vlu Nson,TA,VN
Zara,Iversen,u10010,k,10C,Sti Pvang,Hfa Drød,SP,HD
Øyvind,Holm,u10011,m,9B,Mmi Uborg,Kul Bzorn,MU,KB
Silas,Holm,u10012,m,10C,Zyo Rdal,Fha Wdal,ZR,FW
Karla,Mikkelsen,u10013,k,9C,Jgi Lskov,Nwa Peng,JL,NP
Gro,Uldall,u10014,k,10A,Gul Xkrog,Cel Bborg,GX,CB
Elin,Holm,u10015,k,10C,Oxe Yskov,Dno Sskov,OY,DS
Maja,Larsen,u10016,k,9B,Qqu Kmark,Lci Rdal,QK,LR
David,Enevold,u10017,m,10C,Tza Awulff,Vno Ntoft,TA,VN
Clara,Mikkelsen,u10018,k,10A,Squ Pborg,Hro Dberg,SP,HD
Zara,Zacho,u10019,k,9A,Myo Uvang,Kka Blund,MU,KB
Jonas,Nielsen,u10020,m,9B,Zal Rborg,Fqu Wsen,ZR,FW
Rosa,Dahl,u10021,k,10C,Jul Lnæs,Nti Pson,JL,NP
Elin,Larsen,u10022,k,9B,Gti Xeng,Cpa Bberg,GX,CB
David,Larsen,u10023,m,9C,Obo Ybæk,Dsa Sholm,OY,DS
Clara,Zacho,u10024,k,10A,Qyo Krød,Lyo Rgaard,QK,LR
Elin,Vestergaard,u10025,k,10A,Tio Anæs,Vti Nhavn,TA,VN
Gro,Rasmussen,u10026,k,10C,Swa Pby,Hmi Dwulff,SP,HD
Yrsa,Larsen,u10027,k,10A,Mda Ubæk,Kha Bholm,MU,KB
Karla,Andersen,u10028,k,10B,Zsa Rbæk,Fal Wholm,ZR,FW
Åse,Uldall,u10029,k,9A,Jci Ldal,Nka Pholm,JL,NP
Rosa,Holm,u10030,k,9C,Ggi Xrød,Cel Bskov,GX,CB
Tilde,Petersen,u10031,k,9B,Oza Yhavn,Dgi Slund,OY,DS
David,Vestergaard,u10032,m,10A,Qno Khavn,Lol Rdal,QK,LR
Zara,Uldall,u10033,k,10C,Tbo Afred,Vxe Neng,TA,VN
David,Holm,u10034,m,9B,Sro Pkrog,Hel Dhavn,SP,HD
Frej,Iversen,u10035,k,10A,Mci Ukrog,Kza Brød,MU,KB
David,Bach,u10036,m,10C,Zci Rbæk,Ffa Whavn,ZR,FW
Pelle,Petersen,u10037,m,9B,Jbo Lsen,Nmi Pberg,JL,NP
Maja,Iversen,u10038,k,10A,Gno Xzorn,Cxe Brød,GX,CB
Zara,Wulff,u10039,k,10A,Ogi Yby,Dgi Sdal,OY,DS
Tilde,Zacho,u10040,k,10B,Qxe Keng,Lbo Rdal,QK,LR
Tilde,Petersen,u10041,k,10B,Tbo Anæs,Vci Nsen,TA,VN
Clara,Thomsen,u10042,k,9A,Smi Plund,Hsa Dbæk,SP,HD
Tilde,Thomsen,u10043,k,9A,Mno Uwulff,Ksa Bskov,MU,KB
Rosa,Knudsen,u10044,k,9C,Zvi Rzorn,Fka Wbæk,ZR,FW
Ida,Mikkelsen,u10045,k,9B,Jol Leng,Nyo Pholm,JL,NP
Asta,Olsen,u10046,k,10B,Gci Xrød,Cgi Bnæs,GX,CB
Ida,Enevold,u10047,k,9C,Oha Yfelt,Djo Ssen,OY,DS
Oline,Æbelø,u10048,k,10B,Qti Kvang,Lqu Rberg,QK,LR
Zara,Æbelø,u10049,k,10B,Tvi Alund,Vel Nborg,TA,VN
David,Dahl,u10050,m,10C,Sio Pby,Hti Dson,SP,HD
Åse,Knudsen,u10051,k,9B,Mqu Umark,Kio Bdal,MU,KB
Clara,Uldall,u10052,k,10A,Zbo Rberg,Fka Wgaard,ZR,FW
Yrsa,Iversen,u10053,k,9B,Jro Lzorn,Nno Prød,JL,NP
Asta,Dahl,u10054,k,9A,Gro Xdal,Clu Bskov,GX,CB
Silas,Enevold,u10055,m,10A,Obo Yby,Dlu Sdal,OY,DS
Lauge,Gram,u10056,m,10C,Qvi Klund,Llu Rrød,QK,LR
Noah,Thomsen,u10057,m,10C,Tha Asen,Vza Nsen,TA,VN
Noah,Andersen,u10058,m,9B,Sza Phavn,Hza Dwulff,SP,HD
Øyvind,Østergaard,u10059,m,9B,Mfa Uzorn,Kda Bfred,MU,KB
Birk,Petersen,u10060,m,9B,Zol Rfelt,Fjo Wbæk,ZR,FW
Hjalte,Andersen,u10061,m,10C,Jmi Leng,Nio Pholm,JL,NP
